objectid,title,contributor,creator,date,date,description,subject,source,identifier,type,format,language,rights,rights,display_template,object_location,image_small,image_thumb,image_alt_text
vinyl_001,Punisher,Phoebe Bridgers,Anastasia Scholze,2020-06-18,2024,a photo of a vinyl record of Phoebe Bridgers' album Punisher,music; rock music; alternative rock music; indie music,"Personal photographs, Anastasia Scholze",IMG_7591,Image;StillImage,image/jpeg,eng,Phoebe Bridgers,Anastasia Scholze,image,/objects/vinyl_001.jpeg,/objects/small/vinyl_001_sm.jpeg,/objects/thumbs/vinyl_001_th.jpeg,color photograph depicting a vinyl album cover for the album Punisher by Phoebe Bridgers
vinyl_002,1989: Taylor's Version,Taylor Swift,Anastasia Scholze,2023-10-27,2024,a photo of a vinyl record of Taylor Swift's album 1989: Taylor's Version,music; popular music,"Personal photographs, Anastasia Scholze",IMG_7592,Image;StillImage,image/jpeg,eng,Taylor Swift,Anastasia Scholze,image,/objects/vinyl_002.jpeg,/objects/small/vinyl_002_sm.jpeg,/objects/thumbs/vinyl_002_th.jpeg,color photograph depicting a vinyl album cover for the album 1989: Taylor's Version by Taylor Swift
vinyl_003,The Milk-Eyed Mender,Joanna Newsom,Anastasia Scholze,2004-03-23,2024,a photo of a vinyl record of Joanna Newsom's album The Milk-Eyed Mender,music; alternative rock music; folk music,"Personal photographs, Anastasia Scholze",IMG_7604,Image;StillImage,image/jpeg,eng,Joanna Newsom,Anastasia Scholze,image,/objects/vinyl_003.jpeg,/objects/small/vinyl_003_sm.jpeg,/objects/thumbs/vinyl_003_th.jpeg,color photograph depicting a vinyl album cover for the album The Milk-Eyed Mender by Joanna Newsom
vinyl_004,Minecraft Volume Alpha,C418,Anastasia Scholze,2011-03-04,2024,a photo of a vinyl record of C418's album Minecraft Volume Alpha,music; video game music,"Personal photographs, Anastasia Scholze",IMG_7603,Image;StillImage,image/jpeg,eng,C418,Anastasia Scholze,image,/objects/vinyl_004.jpeg,/objects/small/vinyl_004_sm.jpeg,/objects/thumbs/vinyl_004_th.jpeg,color photograph depicting a vinyl album cover for the album Minecraft Volume Alpha by C418
vinyl_005,Nectar,Joji,Anastasia Scholze,2020-09-25,2024,a photo of a vinyl record of Joji's album Nectar,music; alternative music; r&b (music),"Personal photographs, Anastasia Scholze",IMG_7601,Image;StillImage,image/jpeg,eng,Joji,Anastasia Scholze,image,/objects/vinyl_005.jpeg,/objects/small/vinyl_005_sm.jpeg,/objects/thumbs/vinyl_005_th.jpeg,color photograph depicting a vinyl album cover for the album Nectar by Joji
vinyl_006,"If I Can't Have Love, I Want Power",Halsey,Anastasia Scholze,2021-08-27,2024,"a photo of a vinyl record of Halsey's album If I Can't Have Love, I Want Power",music; rock music; popular music; indie pop music; industrial music,"Personal photographs, Anastasia Scholze",IMG_7599,Image;StillImage,image/jpeg,eng,Halsey,Anastasia Scholze,image,/objects/vinyl_006.jpeg,/objects/small/vinyl_006_sm.jpeg,/objects/thumbs/vinyl_006_th.jpeg,"color photograph depicting a vinyl album cover for the album If I Can't Have Love, I Want Power by Halsey"
vinyl_007,"Praise a Lord Who Chews but Which Does Not Consume; (Or Simply, Hot Between Worlds)",Yves Tumor,Anastasia Scholze,2023-03-17,2024,"a photo of a vinyl record of Yves Tumor's album Praise a Lord Who Chews but Which Does Not Consume; (Or Simply, Hot Between Worlds)",music; electronic music; indie rock music; psychedelic rock music,"Personal photographs, Anastasia Scholze",IMG_7598,Image;StillImage,image/jpeg,eng,Yves Tumor,Anastasia Scholze,image,/objects/vinyl_007.jpeg,/objects/small/vinyl_007_sm.jpeg,/objects/thumbs/vinyl_007_th.jpeg,"color photograph depicting a vinyl album cover for the album Praise a Lord Who Chews but Which Does Not Consume; (Or Simply, Hot Between Worlds) by Yves Tumor"
vinyl_008,Soft Sounds from Another Planet,Japanese Breakfast,Anastasia Scholze,2017-07-24,2024,a photo of a vinyl record of Japanese Breakfast's album Soft Sounds from Another Planet,music; alternative rock music,"Personal photographs, Anastasia Scholze",IMG_7597,Image;StillImage,image/jpeg,eng,Japanese Breakfast,Anastasia Scholze,image,/objects/vinyl_008.jpeg,/objects/small/vinyl_008_sm.jpeg,/objects/thumbs/vinyl_008_th.jpeg,color photograph depicting a vinyl album cover for the album Soft Sounds from Another Planet by Japanese Breakfast
vinyl_009,Joan Armatrading,Joan Armatrading,Anastasia Scholze,1976-07,2024,a photo of a vinyl record of Joan Armatrading's album Joan Armatrading,music; rock music; popular music; blues (music),"Personal photographs, Anastasia Scholze",IMG_7596,Image;StillImage,image/jpeg,eng,Joan Armatrading,Anastasia Scholze,image,/objects/vinyl_009.jpeg,/objects/small/vinyl_009_sm.jpeg,/objects/thumbs/vinyl_009_th.jpeg,color photograph depicting a vinyl album cover for the album Joan Armatrading by Joan Armatrading
vinyl_010,The Greatest Gift,Sufjan Stevens,Anastasia Scholze,2017-11-24,2024,a photo of a vinyl record of Sufjan Stevens' album The Greatest Gift,music; alternative rock music; rock music,"Personal photographs, Anastasia Scholze",IMG_7595,Image;StillImage,image/jpeg,eng,Sufjan Stevens,Anastasia Scholze,image,/objects/vinyl_010.jpeg,/objects/small/vinyl_010_sm.jpeg,/objects/thumbs/vinyl_010_th.jpeg,color photograph depicting a vinyl album cover for the album The Greatest Gift by Sufjan Stevens
